survived,passenger_id,pclass,sex,age,fare,embarked,cabin_type,ticket_cat,marital_status,fam_size
0,1,3,male,22,7.25,S,UO,A,unk_na,small
1,2,1,female,38,71.2833,C,C,P,Fm,small
1,3,3,female,26,7.925,S,UO,STO,Fum,solo
1,4,1,female,35,53.1,S,C,100k,Fm,small
0,5,3,male,35,8.05,S,UO,300k,unk_na,solo
0,6,3,male,37.3,8.4583,Q,UO,300k,unk_na,solo
0,7,1,male,54,51.862500000000004,S,E,10k_up,unk_na,solo
0,8,3,male,2,21.075,S,UO,300k,unk_na,large
1,9,3,female,27,11.133299999999998,S,UO,300k,Fm,small
1,10,2,female,14,30.070800000000002,C,UO,200k,Fm,small
1,11,3,female,4,16.7,S,UO,P,Fum,small
1,12,1,female,58,26.55,S,C,100k,Fum,solo
0,13,3,male,20,8.05,S,UO,A,unk_na,solo
0,14,3,male,39,31.275,S,UO,300k,unk_na,large
0,15,3,female,14,7.8542,S,UO,300k,Fum,solo
1,16,2,female,55,16,S,UO,200k,Fm,solo
0,17,3,male,2,29.125,Q,UO,300k,unk_na,large
1,18,2,male,34.5,13,S,UO,200k,unk_na,solo
0,19,3,female,31,18,S,UO,300k,Fm,small
1,20,3,female,16.45,7.225,C,UO,under_10k,Fm,solo
0,21,2,male,35,26,S,UO,200k,unk_na,solo
1,22,2,male,34,13,S,D,200k,unk_na,solo
1,23,3,female,15,8.0292,Q,UO,300k,Fum,solo
1,24,1,male,28,35.5,S,A,100k,unk_na,solo
0,25,3,female,8,21.075,S,UO,300k,Fum,large
1,26,3,female,38,31.3875,S,UO,300k,Fm,large
0,27,3,male,28.65,7.225,C,UO,under_10k,unk_na,solo
0,28,1,male,19,263,S,C,10k_up,unk_na,large
1,29,3,female,22.85,7.879200000000001,Q,UO,300k,Fum,solo
0,30,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,31,1,male,40,27.7208,C,UO,P,unk_na,solo
1,32,1,female,39.9,146.5208,C,B,P,Fm,small
1,33,3,female,22.85,7.75,Q,UO,300k,Fum,solo
0,34,2,male,66,10.5,S,UO,C,unk_na,solo
0,35,1,male,28,82.17079999999999,C,UO,P,unk_na,small
0,36,1,male,42,52,S,UO,100k,unk_na,small
1,37,3,male,28.65,7.2292000000000005,C,UO,under_10k,unk_na,solo
0,38,3,male,21,8.05,S,UO,A,unk_na,solo
0,39,3,female,18,18,S,UO,300k,Fum,small
1,40,3,female,14,11.241699999999998,C,UO,under_10k,Fum,small
0,41,3,female,40,9.475000000000001,S,UO,under_10k,Fm,small
0,42,2,female,27,21,S,UO,10k_up,Fm,small
0,43,3,male,28.6,7.8957999999999995,C,UO,300k,unk_na,solo
1,44,2,female,3,41.5792,C,UO,SC,Fum,small
1,45,3,female,19,7.879200000000001,Q,UO,300k,Fum,solo
0,46,3,male,31.4,8.05,S,UO,SC,unk_na,solo
0,47,3,male,37.3,15.5,Q,UO,300k,unk_na,small
1,48,3,female,22.85,7.75,Q,UO,10k_up,Fum,solo
0,49,3,male,26.2,21.6792,C,UO,under_10k,unk_na,small
0,50,3,female,18,17.8,S,UO,300k,Fm,small
0,51,3,male,7,39.6875,S,UO,mil,unk_na,large
0,52,3,male,21,7.8,S,UO,A,unk_na,solo
1,53,1,female,49,76.7292,C,D,P,Fm,small
1,54,2,female,29,26,S,UO,under_10k,Fm,small
0,55,1,male,65,61.9792,C,B,100k,unk_na,small
1,56,1,male,50.3,35.5,S,C,10k_up,unk_na,solo
1,57,2,female,21,10.5,S,UO,C,Fum,solo
0,58,3,male,28.5,7.2292000000000005,C,UO,under_10k,unk_na,solo
1,59,2,female,5,27.75,S,UO,C,Fum,small
0,60,3,male,11,46.9,S,UO,C,unk_na,large
0,61,3,male,22,7.2292000000000005,C,UO,under_10k,unk_na,solo
1,62,1,female,38,80,C,B,100k,Fum,solo
0,63,1,male,45,83.475,S,C,10k_up,unk_na,small
0,64,3,male,4,27.9,S,UO,300k,unk_na,large
0,65,1,male,44.4,27.7208,C,UO,P,unk_na,solo
1,66,3,male,18.742,15.2458,C,UO,under_10k,unk_na,small
1,67,2,female,29,10.5,S,F,C,Fm,solo
0,68,3,male,19,8.158299999999999,S,UO,other,unk_na,solo
1,69,3,female,17,7.925,S,UO,mil,Fum,large
0,70,3,male,26,8.662500000000001,S,UO,300k,unk_na,small
0,71,2,male,32,10.5,S,UO,C,unk_na,solo
0,72,3,female,16,46.9,S,UO,C,Fum,large
0,73,2,male,21,73.5,S,UO,other,unk_na,solo
0,74,3,male,26,14.4542,C,UO,under_10k,unk_na,small
1,75,3,male,32,56.4958,S,UO,under_10k,unk_na,solo
0,76,3,male,25,7.6499999999999995,S,F,300k,unk_na,solo
0,77,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,78,3,male,31.4,8.05,S,UO,300k,unk_na,solo
1,79,2,male,0.8300000000000001,29,S,UO,200k,unk_na,small
1,80,3,female,30,12.475000000000001,S,UO,300k,Fum,solo
0,81,3,male,22,9,S,UO,300k,unk_na,solo
1,82,3,male,29,9.5,S,UO,300k,unk_na,solo
1,83,3,female,22.85,7.7875,Q,UO,300k,Fum,solo
0,84,1,male,28,47.1,S,UO,100k,unk_na,solo
1,85,2,female,17,10.5,S,UO,other,Fum,solo
1,86,3,female,33,15.850000000000001,S,UO,mil,Fm,small
0,87,3,male,16,34.375,S,UO,other,unk_na,large
0,88,3,male,31.4,8.05,S,UO,SOT,unk_na,solo
1,89,1,female,23,263,S,C,10k_up,Fum,large
0,90,3,male,24,8.05,S,UO,300k,unk_na,solo
0,91,3,male,29,8.05,S,UO,300k,unk_na,solo
0,92,3,male,20,7.8542,S,UO,300k,unk_na,solo
0,93,1,male,46,61.175000000000004,S,E,other,unk_na,small
0,94,3,male,26,20.575,S,UO,C,unk_na,small
0,95,3,male,59,7.25,S,UO,300k,unk_na,solo
0,96,3,male,31.4,8.05,S,UO,300k,unk_na,solo
0,97,1,male,71,34.654199999999996,C,A,P,unk_na,solo
1,98,1,male,23,63.3583,C,D,P,unk_na,small
1,99,2,female,34,23,S,UO,200k,Fm,small
0,100,2,male,34,26,S,UO,200k,unk_na,small
0,101,3,female,28,7.8957999999999995,S,UO,300k,Fum,solo
0,102,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,103,1,male,21,77.28750000000001,S,D,10k_up,unk_na,small
0,104,3,male,33,8.6542,S,UO,under_10k,unk_na,solo
0,105,3,male,37,7.925,S,UO,mil,unk_na,small
0,106,3,male,28,7.8957999999999995,S,UO,300k,unk_na,solo
1,107,3,female,21,7.6499999999999995,S,UO,300k,Fum,solo
1,108,3,male,29.5,7.775,S,UO,300k,unk_na,solo
0,109,3,male,38,7.8957999999999995,S,UO,300k,unk_na,solo
1,110,3,female,22.85,24.150000000000002,Q,UO,300k,Fum,small
0,111,1,male,47,52,S,C,100k,unk_na,solo
0,112,3,female,14.5,14.4542,C,UO,under_10k,Fum,small
0,113,3,male,22,8.05,S,UO,300k,unk_na,solo
0,114,3,female,20,9.825000000000001,S,UO,under_10k,Fum,small
0,115,3,female,17,14.4583,C,UO,under_10k,Fum,solo
0,116,3,male,21,7.925,S,UO,STO,unk_na,solo
0,117,3,male,70.5,7.75,Q,UO,300k,unk_na,solo
0,118,2,male,29,21,S,UO,10k_up,unk_na,small
0,119,1,male,24,247.5208,C,B,P,unk_na,small
0,120,3,female,2,31.275,S,UO,300k,Fum,large
0,121,2,male,21,73.5,S,UO,other,unk_na,small
0,122,3,male,31.4,8.05,S,UO,A,unk_na,solo
0,123,2,male,32.5,30.070800000000002,C,UO,200k,unk_na,small
1,124,2,female,32.5,13,S,E,10k_up,Fum,solo
0,125,1,male,54,77.28750000000001,S,D,10k_up,unk_na,small
1,126,3,male,12,11.241699999999998,C,UO,under_10k,unk_na,small
0,127,3,male,37.3,7.75,Q,UO,300k,unk_na,solo
1,128,3,male,24,7.1417,S,UO,C,unk_na,solo
1,129,3,female,12.6,22.3583,C,F,under_10k,Fum,small
0,130,3,male,45,6.9750000000000005,S,UO,300k,unk_na,solo
0,131,3,male,33,7.8957999999999995,C,UO,300k,unk_na,solo
0,132,3,male,20,7.05,S,UO,SOT,unk_na,solo
0,133,3,female,47,14.5,S,UO,A,Fm,small
1,134,2,female,29,26,S,UO,200k,Fm,small
0,135,2,male,25,13,S,UO,C,unk_na,solo
0,136,2,male,23,15.0458,C,UO,SC,unk_na,solo
1,137,1,female,19,26.283299999999997,S,D,10k_up,Fum,small
0,138,1,male,37,53.1,S,C,100k,unk_na,small
0,139,3,male,16,9.2167,S,UO,under_10k,unk_na,solo
0,140,1,male,24,79.2,C,B,P,unk_na,solo
0,141,3,female,17.5,15.2458,C,UO,under_10k,Fm,small
1,142,3,female,22,7.75,S,UO,300k,Fum,solo
1,143,3,female,24,15.850000000000001,S,UO,STO,Fm,small
0,144,3,male,19,6.75,Q,UO,300k,unk_na,solo
0,145,2,male,18,11.5,S,UO,200k,unk_na,solo
0,146,2,male,19,36.75,S,UO,C,unk_na,small
1,147,3,male,27,7.7958,S,UO,300k,unk_na,solo
0,148,3,female,9,34.375,S,UO,other,Fum,large
0,149,2,male,36.5,26,S,F,200k,unk_na,small
0,150,2,male,42,13,S,UO,200k,unk_na,solo
0,151,2,male,51,12.525,S,UO,other,unk_na,solo
1,152,1,female,22,66.6,S,C,100k,Fm,small
0,153,3,male,55.5,8.05,S,UO,A,unk_na,solo
0,154,3,male,40.5,14.5,S,UO,A,unk_na,small
0,155,3,male,30.65,7.312499999999999,S,UO,other,unk_na,solo
0,156,1,male,51,61.3792,C,UO,P,unk_na,small
1,157,3,female,16,7.733300000000001,Q,UO,10k_up,Fum,solo
0,158,3,male,30,8.05,S,UO,SOT,unk_na,solo
0,159,3,male,25.3,8.662500000000001,S,UO,300k,unk_na,solo
0,160,3,male,6.7,69.55,S,UO,C,unk_na,large
0,161,3,male,44,16.1,S,UO,300k,unk_na,small
1,162,2,female,40,15.75,S,UO,C,Fm,solo
0,163,3,male,26,7.775,S,UO,300k,unk_na,solo
0,164,3,male,17,8.662500000000001,S,UO,300k,unk_na,solo
0,165,3,male,1,39.6875,S,UO,mil,unk_na,large
1,166,3,male,9,20.525,S,UO,300k,unk_na,small
1,167,1,female,33.5,55,S,E,100k,Fm,small
0,168,3,female,45,27.9,S,UO,300k,Fm,large
0,169,1,male,47.8,25.924999999999997,S,UO,P,unk_na,solo
0,170,3,male,28,56.4958,S,UO,under_10k,unk_na,solo
0,171,1,male,61,33.5,S,B,100k,unk_na,solo
0,172,3,male,4,29.125,Q,UO,300k,unk_na,large
1,173,3,female,1,11.133299999999998,S,UO,300k,Fum,small
0,174,3,male,21,7.925,S,UO,STO,unk_na,solo
0,175,1,male,56,30.695800000000002,C,A,10k_up,unk_na,solo
0,176,3,male,18,7.8542,S,UO,300k,unk_na,small
0,177,3,male,12.5,25.466699999999996,S,UO,under_10k,unk_na,large
0,178,1,female,50,28.7125,C,C,P,Fum,solo
0,179,2,male,30,13,S,UO,200k,unk_na,solo
0,180,3,male,36,0,S,UO,other,unk_na,solo
0,181,3,female,9.8,69.55,S,UO,C,Fum,large
0,182,2,male,30.85,15.05,C,UO,SC,unk_na,solo
0,183,3,male,9,31.3875,S,UO,300k,unk_na,large
1,184,2,male,1,39,S,F,200k,unk_na,small
1,185,3,female,4,22.025,S,UO,300k,Fum,small
0,186,1,male,44.9,50,S,A,100k,unk_na,solo
1,187,3,female,22.85,15.5,Q,UO,300k,Fm,small
1,188,1,male,45,26.55,S,UO,100k,unk_na,solo
0,189,3,male,40,15.5,Q,UO,300k,unk_na,small
0,190,3,male,36,7.8957999999999995,S,UO,300k,unk_na,solo
1,191,2,female,32,13,S,UO,200k,Fm,solo
0,192,2,male,19,13,S,UO,10k_up,unk_na,solo
1,193,3,female,19,7.8542,S,UO,300k,Fum,small
1,194,2,male,3,26,S,F,200k,unk_na,small
1,195,1,female,44,27.7208,C,B,P,Fm,solo
1,196,1,female,58,146.5208,C,B,P,Fum,solo
0,197,3,male,37.3,7.75,Q,UO,300k,unk_na,solo
0,198,3,male,42,8.4042,S,UO,under_10k,unk_na,small
1,199,3,female,22.85,7.75,Q,UO,300k,Fum,solo
0,200,2,female,24,13,S,UO,200k,Fum,solo
0,201,3,male,28,9.5,S,UO,300k,unk_na,solo
0,202,3,male,6.7,69.55,S,UO,C,unk_na,large
0,203,3,male,34,6.4958,S,UO,mil,unk_na,solo
0,204,3,male,45.5,7.225,C,UO,under_10k,unk_na,solo
1,205,3,male,18,8.05,S,UO,A,unk_na,solo
0,206,3,female,2,10.462500000000002,S,UO,300k,Fum,small
0,207,3,male,32,15.850000000000001,S,UO,mil,unk_na,small
1,208,3,male,26,18.787499999999998,C,UO,under_10k,unk_na,solo
1,209,3,female,16,7.75,Q,UO,300k,Fum,solo
1,210,1,male,40,31,C,A,100k,unk_na,solo
0,211,3,male,24,7.05,S,UO,SOT,unk_na,solo
1,212,2,female,35,21,S,UO,other,Fum,solo
0,213,3,male,22,7.25,S,UO,A,unk_na,solo
0,214,2,male,30,13,S,UO,200k,unk_na,solo
0,215,3,male,37.3,7.75,Q,UO,300k,unk_na,small
1,216,1,female,31,113.27499999999999,C,D,10k_up,Fum,small
1,217,3,female,27,7.925,S,UO,STO,Fum,solo
0,218,2,male,42,27,S,UO,200k,unk_na,small
1,219,1,female,32,76.2917,C,D,10k_up,Fum,solo
0,220,2,male,30,10.5,S,UO,other,unk_na,solo
1,221,3,male,16,8.05,S,UO,SOT,unk_na,solo
0,222,2,male,27,13,S,UO,200k,unk_na,solo
0,223,3,male,51,8.05,S,UO,10k_up,unk_na,solo
0,224,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
1,225,1,male,38,90,S,C,10k_up,unk_na,small
0,226,3,male,22,9.350000000000001,S,UO,P,unk_na,solo
1,227,2,male,19,10.5,S,UO,other,unk_na,solo
0,228,3,male,20.5,7.25,S,UO,A,unk_na,solo
0,229,2,male,18,13,S,UO,200k,unk_na,solo
0,230,3,female,18.3,25.466699999999996,S,UO,under_10k,Fum,large
1,231,1,female,35,83.475,S,C,10k_up,Fm,small
0,232,3,male,29,7.775,S,UO,300k,unk_na,solo
0,233,2,male,59,13.5,S,UO,200k,unk_na,solo
1,234,3,female,5,31.3875,S,UO,300k,Fum,large
0,235,2,male,24,10.5,S,UO,C,unk_na,solo
0,236,3,female,24.7,7.55,S,UO,other,Fum,solo
0,237,2,male,44,26,S,UO,10k_up,unk_na,small
1,238,2,female,8,26.25,S,UO,C,Fum,small
0,239,2,male,19,10.5,S,UO,10k_up,unk_na,solo
0,240,2,male,33,12.275,S,UO,SC,unk_na,solo
0,241,3,female,16.45,14.4542,C,UO,under_10k,Fum,small
1,242,3,female,22.85,15.5,Q,UO,300k,Fum,small
0,243,2,male,29,10.5,S,UO,other,unk_na,solo
0,244,3,male,22,7.124999999999999,S,UO,STO,unk_na,solo
0,245,3,male,30,7.225,C,UO,under_10k,unk_na,solo
0,246,1,male,44,90,Q,C,10k_up,unk_na,small
0,247,3,female,25,7.775,S,UO,300k,Fum,solo
1,248,2,female,24,14.5,S,UO,200k,Fm,small
1,249,1,male,37,52.554199999999994,S,D,10k_up,unk_na,small
0,250,2,male,54,26,S,UO,200k,unk_na,small
0,251,3,male,31.15,7.25,S,UO,300k,unk_na,solo
0,252,3,female,29,10.462500000000002,S,UO,300k,Fm,small
0,253,1,male,62,26.55,S,C,100k,unk_na,solo
0,254,3,male,30,16.1,S,UO,A,unk_na,small
0,255,3,female,41,20.2125,S,UO,300k,Fm,small
1,256,3,female,29,15.2458,C,UO,under_10k,Fm,small
1,257,1,female,31.8,79.2,C,UO,P,Fm,solo
1,258,1,female,30,86.5,S,B,100k,Fum,solo
1,259,1,female,35,512.3291999999999,C,UO,P,Fum,solo
1,260,2,female,50,26,S,UO,200k,Fm,small
0,261,3,male,37.3,7.75,Q,UO,300k,unk_na,solo
1,262,3,male,3,31.3875,S,UO,300k,unk_na,large
0,263,1,male,52,79.64999999999999,S,E,100k,unk_na,small
0,264,1,male,40,0,S,B,100k,unk_na,solo
0,265,3,female,22.85,7.75,Q,UO,300k,Fum,solo
0,266,2,male,36,10.5,S,UO,C,unk_na,solo
0,267,3,male,16,39.6875,S,UO,mil,unk_na,large
1,268,3,male,25,7.775,S,UO,300k,unk_na,small
1,269,1,female,58,153.4625,S,C,P,Fm,small
1,270,1,female,35,135.6333,S,C,P,Fum,solo
0,271,1,male,51.75,31,S,UO,100k,unk_na,solo
1,272,3,male,25,0,S,UO,other,unk_na,solo
1,273,2,female,41,19.5,S,UO,200k,Fm,small
0,274,1,male,37,29.7,C,C,P,unk_na,small
1,275,3,female,22.85,7.75,Q,UO,300k,Fum,solo
1,276,1,female,63,77.9583,S,D,10k_up,Fum,small
0,277,3,female,45,7.75,S,UO,300k,Fum,solo
0,278,2,male,35.6,0,S,UO,200k,unk_na,solo
0,279,3,male,7,29.125,Q,UO,300k,unk_na,large
1,280,3,female,35,20.25,S,UO,C,Fm,small
0,281,3,male,65,7.75,Q,UO,300k,unk_na,solo
0,282,3,male,28,7.8542,S,UO,300k,unk_na,solo
0,283,3,male,16,9.5,S,UO,300k,unk_na,solo
1,284,3,male,19,8.05,S,UO,A,unk_na,solo
0,285,1,male,47.8,26,S,A,100k,unk_na,solo
0,286,3,male,33,8.662500000000001,C,UO,300k,unk_na,solo
1,287,3,male,30,9.5,S,UO,300k,unk_na,solo
0,288,3,male,22,7.8957999999999995,S,UO,300k,unk_na,solo
1,289,2,male,42,13,S,UO,200k,unk_na,solo
1,290,3,female,22,7.75,Q,UO,300k,Fum,solo
1,291,1,female,26,78.85,S,UO,10k_up,Fum,solo
1,292,1,female,19,91.0792,C,B,10k_up,Fm,small
0,293,2,male,36,12.875000000000002,C,D,SC,unk_na,solo
0,294,3,female,24,8.850000000000001,S,UO,300k,Fum,solo
0,295,3,male,24,7.8957999999999995,S,UO,300k,unk_na,solo
0,296,1,male,44.4,27.7208,C,UO,P,unk_na,solo
0,297,3,male,23.5,7.2292000000000005,C,UO,under_10k,unk_na,solo
