Variable,Definition,Key,Class,Notes
Survived,Survival,"0 = No, 1 = Yes",Logical (dep va),"Log reg, classification machine learning
techniques (trees, RF, bagging)"
Pclass,Ticket class (proxy for SES),"1 = 1st (upper)
2 = 2nd (middle)
3 = 3rd (lower)",Factor,
Sex,Sex,"male, female",Factor,
Age,"Age in years
age: Age is fractional if less than 1. If the 
age is estimated, is it in the form of xx.5",,Numeric/double,
SibSp,"# of siblings / spouses aboard the Titanic
Sib: brother, sister, stepbrother, stepsister
Spouse: husband/wife (mistresses &
fiances were ignored)",,Integer,
Parch,"# of parents / children aboard the Titanic
Parent: mother/father
Child: daughter, son, stepdaughter, stepson
parch=0 if child(ren) travelled with nanny",,Integer,
Ticket,Ticket number,,Character,
Fare,Passenger fare,,Numeric/double,Any patterns in histogram?
Cabin,Cabin number,,Character,
Embarked,Port of Embarkation,"C = Cherbourg
Q = Queenstown
S = Southampton",Factor,